Dataset,Variant,Fitness_Mean,Fitness_Std,Accuracy_Mean,Accuracy_Std,Selected_Mean,Time_Mean
Iris,BMPA,0.027383333333333336,0.017449299572061767,0.9762962962962963,0.01808378609738325,1.5666666666666667,0.04858805338541667
Iris,AMPA_C,0.027383333333333336,0.017449299572061767,0.9762962962962963,0.01808378609738325,1.5666666666666667,0.048591415087381996
Iris,AMPA_A,0.027383333333333336,0.017449299572061767,0.9762962962962963,0.01808378609738325,1.5666666666666667,0.04888241291046143
Iris,AMPA_E,0.027383333333333336,0.017449299572061767,0.9762962962962963,0.01808378609738325,1.5666666666666667,0.05350393454233805
Iris,AMPA_CA,0.027383333333333336,0.017449299572061767,0.9762962962962963,0.01808378609738325,1.5666666666666667,0.04832348823547363
Iris,AMPA_CE,0.027383333333333336,0.017449299572061767,0.9762962962962963,0.01808378609738325,1.5666666666666667,0.05562570095062256
Iris,AMPA_AE,0.027383333333333336,0.017449299572061767,0.9762962962962963,0.01808378609738325,1.5666666666666667,0.05567123889923096
Iris,AMPA_FS,0.027383333333333336,0.017449299572061767,0.9762962962962963,0.01808378609738325,1.5666666666666667,0.05605510075887044
Wine,BMPA,0.004175213675213675,0.0034730235761668356,0.9993827160493827,0.0033241758068731455,4.633333333333334,1.9854210456212362
Wine,AMPA_C,0.005423076923076921,0.00556535788746025,0.9981481481481481,0.005555555555555547,4.666666666666667,2.081424427032471
Wine,AMPA_A,0.004709401709401706,0.0045137107384052464,0.9987654320987654,0.004619330107128315,4.533333333333333,1.967944081624349
Wine,AMPA_E,0.004760683760683759,0.004649415532790322,0.9987654320987654,0.004619330107128315,4.6,2.005322011311849
Wine,AMPA_CA,0.004735042735042734,0.004635276853806305,0.9987654320987654,0.004619330107128315,4.566666666666666,2.0864710648854574
Wine,AMPA_CE,0.00537179487179487,0.005558383566865192,0.9981481481481481,0.005555555555555547,4.6,2.106183584531148
Wine,AMPA_AE,0.004632478632478632,0.004547305754697776,0.9987654320987654,0.004619330107128315,4.466666666666667,2.0138227621714275
Wine,AMPA_FS,0.004709401709401708,0.004637994634423684,0.9987654320987654,0.004619330107128315,4.533333333333333,2.0820390224456786
Zoo,BMPA,0.019153225806451603,0.015438306263798222,0.9849462365591399,0.016093150050640593,6.8,2.2238065878550213
Zoo,AMPA_C,0.020613575268817193,0.015644289760786977,0.9838709677419357,0.016129032258064502,7.433333333333334,3.7819224993387857
Zoo,AMPA_A,0.017065860215053755,0.015305644408241411,0.9870967741935485,0.0158031596308592,6.866666666666666,2.1620389223098755
Zoo,AMPA_E,0.01919489247311827,0.015442303331902043,0.9849462365591399,0.016093150050640593,6.866666666666666,2.357904823621114
Zoo,AMPA_CA,0.02005107526881719,0.01574367758094309,0.9838709677419356,0.016129032258064502,6.533333333333333,2.3189365307490033
Zoo,AMPA_CE,0.020613575268817193,0.015646786479001504,0.9838709677419357,0.016129032258064502,7.433333333333334,2.831523323059082
Zoo,AMPA_AE,0.017045026881720424,0.015280691080731833,0.9870967741935485,0.0158031596308592,6.933333333333334,2.171405625343323
Zoo,AMPA_FS,0.0190907258064516,0.015764520472833287,0.9849462365591399,0.016093150050640593,6.733333333333333,2.264019759496053
Heart,BMPA,0.12072486315182945,0.020198927026213,0.8835205992509364,0.020816019822607116,7.033333333333333,2.0581475655237833
Heart,AMPA_C,0.12013713627196773,0.02136540171562333,0.8842696629213482,0.022122755693816262,7.233333333333333,2.1857838948567707
Heart,AMPA_A,0.1208787093056756,0.019742681108087475,0.8835205992509364,0.020200429303613186,7.233333333333333,2.085270857810974
Heart,AMPA_E,0.12069922212618844,0.02025904893326368,0.8835205992509364,0.020816019822607116,7.033333333333333,2.075688131650289
Heart,AMPA_CA,0.12104436761740134,0.019169112257344773,0.8831460674157303,0.019590557049621,6.966666666666667,2.208533771832784
Heart,AMPA_CE,0.12006021319504466,0.021379304362764074,0.8835205992509362,0.021803415097869483,7.133333333333334,2.1547756592432656
Heart,AMPA_AE,0.11963814462690867,0.02019233812662526,0.8838951310861425,0.02098715464587551,7.0,2.050406257311503
Heart,AMPA_FS,0.12107000864304236,0.019177540582882357,0.8831460674157303,0.019590557049621,7.0,2.126638174057007
BreastCancer,BMPA,0.017958479532163785,0.008080877068349018,0.9855750487329433,0.007951687350632022,11.033333333333333,2.926911473274231
BreastCancer,AMPA_C,0.01751578947368424,0.008663995137172269,0.9865497076023391,0.008693607454572228,12.6,3.203829367955526
BreastCancer,AMPA_A,0.01722690058479535,0.007978520890191734,0.9865497076023391,0.00801119789007194,11.733333333333333,2.851845685640971
BreastCancer,AMPA_E,0.017672514619883076,0.008500618669611658,0.9859649122807016,0.008487930236677287,11.433333333333334,2.9235486427942914
BreastCancer,AMPA_CA,0.017612865497076066,0.00786411466362003,0.9861598440545808,0.007915766278458856,11.733333333333333,3.042655865351359
BreastCancer,AMPA_CE,0.017653216374269035,0.00883163271414318,0.9861598440545808,0.008605746609997704,12.4,3.106510297457377
BreastCancer,AMPA_AE,0.01722690058479535,0.00797573514798363,0.9865497076023391,0.00801119789007194,11.833333333333334,2.85845832824707
BreastCancer,AMPA_FS,0.017260233918128694,0.007842677063986194,0.9865497076023391,0.007867616401797497,11.933333333333334,3.042389678955078
Ionosphere,BMPA,0.07036293007769144,0.01902834366617779,0.9320754716981131,0.019241583070161446,10.6,2.624582465489705
