Dataset,Algorithm,accuracy,precision,sensitivity,specificity,f1,auc,n_selected,Runtime_s
Wine,BMPA,0.95,0.9499813557960977,0.95262266473922,0.974660633484163,0.9509478257962302,0.9912974349042208,4.633333333333334,2.9172070900599163
Wine,BPSO,0.9473782771535579,0.9474227587844964,0.9500659796822364,0.9733323130354468,0.9483789082813493,0.9913761711390255,4.2,3.2950965642929075
Wine,BGA,0.9556179775280899,0.9553669213940819,0.9575721355755376,0.9775321074991223,0.9562286948115065,0.9939007563466808,4.8,0.3084622859954834
Wine,BGWO,0.954119850187266,0.9537184877832249,0.9563088512241055,0.9768193153129932,0.9547270464336431,0.9931908025943965,4.866666666666666,3.6054600954055784
Wine,BWOA,0.9559925093632958,0.9558349193065757,0.9589759444930727,0.9777892024291145,0.9570336383454295,0.992399389074662,4.6,4.9972966114679975
Wine,BSSA,0.956367041198502,0.9556451007356751,0.9585072345561124,0.9780628503498211,0.9567904017774389,0.992266671578463,4.9,4.96442502339681
Wine,BHHO,0.9558052434456931,0.9556835483500943,0.9583716833328914,0.9776592755482255,0.9566952682638233,0.9940080580321039,4.7,5.05203545888265
Wine,BSCA,0.9546816479400749,0.9544885329982044,0.9569261535945112,0.9770834382159286,0.95533751107102,0.9924760120759318,4.8,5.121712509791056
Wine,BGOA,0.9612359550561798,0.9610476316057556,0.9628102260771155,0.9803719791295382,0.9617216698400258,0.9942963491440346,5.1,5.194377787907919
Wine,BWSO,0.958239700374532,0.9578720450018869,0.9604152851825329,0.9789122214905613,0.9589007500228959,0.9927039674152264,5.166666666666667,0.36940736770629884
Wine,BEHO,0.9522471910112359,0.9522376503766821,0.9540803515379787,0.9757702342859023,0.952868018719889,0.9935991490353974,4.633333333333334,1.2373519579569499
Wine,BCMAES,0.9559925093632958,0.9559237282626416,0.9581305867218376,0.9776975300064911,0.9567916006865785,0.9931448734206173,4.4,0.6196844180425009
Zoo,AMPA_FS,0.9429042904290429,0.8966547095699919,0.876335656213705,0.9908754664382141,0.8793232389159515,0.9734741498347883,6.7,2.848385461171468
Zoo,BMPA,0.942244224422442,0.9008934663834997,0.8852903600464577,0.9905609228793922,0.8852294957142308,0.9762889404230682,6.8,3.5586769739786783
Zoo,BPSO,0.9465346534653464,0.9103761494637436,0.8928973465558829,0.9913538518204187,0.8927389924040111,0.9753718714979212,5.866666666666666,4.2038556655248005
Zoo,BGA,0.9392739273927392,0.8763200718819185,0.867198025551684,0.9901161721257359,0.8626942705817565,0.9724093033313304,6.0,0.32638317743937173
Zoo,BGWO,0.9508250825082509,0.913002044690522,0.8970436880192978,0.9920908539248122,0.8973713899587882,0.979652862729743,7.166666666666667,4.6912962913513185
Zoo,BWOA,0.9471947194719471,0.9041521188421167,0.8840737514518,0.9915554582043852,0.8859015888545798,0.979525284965874,7.166666666666667,4.964630397160848
Zoo,BSSA,0.9455445544554455,0.8939299038854444,0.8779786473688912,0.9912848212052582,0.8794235897973297,0.9739775931073864,7.533333333333333,4.949898687998454
Zoo,BHHO,0.9465346534653466,0.908724960286422,0.8901418297150004,0.9913183667669266,0.8914142861823263,0.9814493258177744,7.433333333333334,4.9258944114049275
Zoo,BSCA,0.9468646864686467,0.9093570284766298,0.8921772536406681,0.9913029161560334,0.8939173617200844,0.9795462227470433,6.933333333333334,4.948253504435221
Zoo,BGOA,0.9415841584158414,0.8921362676524333,0.8741590726346823,0.9904702557529264,0.877703006555947,0.981627602676731,8.3,5.435051918029785
Zoo,BWSO,0.9353135313531352,0.858330402773424,0.8502579737335835,0.9896380691733533,0.8465877499171472,0.9731032055173142,6.833333333333333,0.569467282295227
Zoo,BEHO,0.9514851485148516,0.9101015166891109,0.8920441347270615,0.9922229024328129,0.8938261776012034,0.97618245764669,6.766666666666667,2.110216212272644
