Dataset,Bound,RF_Acc_Mean,RF_Acc_Std,Fitness_Mean,Selected_Mean,Time_Mean
Wine,clip6,0.9572113289760349,0.012056692909570305,0.004709401709401708,4.533333333333333,3.0040748755137128
Wine,clip2,0.9472222222222221,0.02586269774802504,0.005217948717948716,4.4,3.1035928964614867
BreastCancer,clip6,0.9580785296574771,0.007160723696555184,0.017260233918128694,11.933333333333334,7.14443187713623
BreastCancer,clip2,0.9594183375104427,0.005237644801250371,0.018291812865497113,12.1,7.513531867663065
Ionosphere,clip6,0.9263015873015874,0.011018845946213916,0.06800961894191637,11.166666666666666,5.103517651557922
Ionosphere,clip2,0.9231613756613757,0.006378868652553221,0.06696540880503142,9.7,5.2805863380432125
Sonar,clip6,0.8154126984126984,0.023266906850644593,0.06633333333333336,24.066666666666666,4.1581511974334715
Sonar,clip2,0.8119603174603173,0.020436717520885564,0.07068492063492066,25.066666666666666,4.405792474746704
Vehicle,clip6,0.7417521008403362,0.01454093270239413,0.23973009623797029,9.4,9.013082567850748
Vehicle,clip2,0.7417927170868347,0.011324242661623423,0.23763312919218432,9.133333333333333,9.423792918523153
