Dataset,Algorithm,Fitness_Mean,Fitness_Std,KNN_Acc_Mean,RF_Acc_Mean,RF_Acc_Std,Selected_Mean,Selected_Std,Time_Mean
Iris,AMPA_FS,0.027383333333333336,0.017449299572061767,0.9762962962962963,0.9475555555555556,0.012734710028350561,1.5666666666666667,0.6674994798166929,0.05805746714274088
Iris,BMPA,0.027383333333333336,0.017449299572061767,0.9762962962962963,0.9477777777777779,0.012422599874998814,1.5666666666666667,0.6674994798166929,0.04895922342936198
Iris,BPSO,0.027383333333333336,0.017449299572061767,0.9762962962962963,0.9475555555555556,0.012734710028350561,1.5666666666666667,0.6674994798166929,0.06414906978607178
Iris,BGA,0.027383333333333336,0.017449299572061767,0.9762962962962963,0.9475555555555556,0.012734710028350561,1.5666666666666667,0.6674994798166929,0.07448734442392985
Iris,BGWO,0.027383333333333336,0.017449299572061767,0.9762962962962963,0.9475555555555556,0.012734710028350561,1.5666666666666667,0.6674994798166929,0.08250464598337809
Iris,BWOA,0.027383333333333336,0.017449299572061767,0.9762962962962963,0.9475555555555556,0.012734710028350561,1.5666666666666667,0.6674994798166929,0.07020301818847656
Iris,BSSA,0.027383333333333336,0.017449299572061767,0.9762962962962963,0.9475555555555556,0.012734710028350561,1.5666666666666667,0.6674994798166929,0.07484799226125081
Iris,BHHO,0.027383333333333336,0.017449299572061767,0.9762962962962963,0.9475555555555556,0.012734710028350561,1.5666666666666667,0.6674994798166929,0.0710383415222168
Iris,BSCA,0.027383333333333336,0.017449299572061767,0.9762962962962963,0.9475555555555556,0.012734710028350561,1.5666666666666667,0.6674994798166929,0.06403423150380452
Iris,BGOA,0.027383333333333336,0.017449299572061767,0.9762962962962963,0.9475555555555556,0.012734710028350561,1.5666666666666667,0.6674994798166929,0.6891077995300293
Iris,BWSO,0.027383333333333336,0.017449299572061767,0.9762962962962963,0.9477777777777779,0.012422599874998814,1.5666666666666667,0.6674994798166929,0.05464304288228353
Iris,BEHO,0.027383333333333336,0.017449299572061767,0.9762962962962963,0.9477777777777779,0.012422599874998814,1.5666666666666667,0.6674994798166929,0.06750266551971436
Iris,BCMAES,0.027383333333333336,0.017449299572061767,0.9762962962962963,0.9475555555555556,0.012734710028350561,1.5666666666666667,0.6674994798166929,0.025528494517008463
Wine,AMPA_FS,0.004709401709401708,0.004637994634423684,0.9987654320987654,0.9572113289760349,0.012056692909570305,4.533333333333333,1.0561986345169907,3.045141037305196
Wine,BMPA,0.004175213675213675,0.0034730235761668356,0.9993827160493827,0.95,0.022713711347026714,4.633333333333334,1.2242911781471306,2.9172070900599163
Wine,BPSO,0.0038418803418803415,0.0033363699733862376,0.9993827160493827,0.9475599128540303,0.020382087434400738,4.2,0.9092121131323904,3.2950965642929075
Wine,BGA,0.007970085470085465,0.009196522614435473,0.9956790123456789,0.9579956427015249,0.018131558769784267,4.8,1.1075498483890767,0.3084622859954834
Wine,BGWO,0.004354700854700855,0.0032733731646771127,0.9993827160493827,0.9548148148148148,0.018250774957370604,4.866666666666666,1.0873004286866725,3.6054600954055784
Wine,BWOA,0.004760683760683759,0.004623892127420294,0.9987654320987654,0.9557734204793028,0.01936842453376916,4.6,1.0519822558706335,4.9972966114679975
Wine,BSSA,0.004991452991452989,0.004642127334571055,0.9987654320987654,0.9557407407407407,0.016475403758236695,4.9,0.8698658900466594,4.96442502339681
Wine,BHHO,0.004226495726495726,0.0032757155950722903,0.9993827160493827,0.9568954248366011,0.015067060712361096,4.7,0.9712534856222311,5.05203545888265
Wine,BSCA,0.004914529914529912,0.004595080377846092,0.9987654320987654,0.9566666666666667,0.01802875355736461,4.8,1.1372481406154653,5.121712509791056
Wine,BGOA,0.005756410256410252,0.005352913392564565,0.9981481481481481,0.9625599128540305,0.013829794398477958,5.1,0.9780933834080807,5.194377787907919
Wine,BWSO,0.00886324786324786,0.009702439721409915,0.9950617283950616,0.9559477124183007,0.020446724655394672,5.166666666666667,1.0671873729054748,0.36940736770629884
Wine,BEHO,0.005397435897435896,0.0053338418150110836,0.9981481481481481,0.9555664488017429,0.020904048608997996,4.633333333333334,1.2512216252748973,1.2373519579569499
Wine,BCMAES,0.005217948717948715,0.0054567964245457075,0.9981481481481481,0.957494553376906,0.01914875285071892,4.4,1.0519822558706333,0.6196844180425009
Zoo,AMPA_FS,0.0190907258064516,0.015764520472833287,0.9849462365591399,0.9437575757575757,0.02146267608306253,6.733333333333333,1.6719914938645934,2.848385461171468
Zoo,BMPA,0.019153225806451603,0.015438306263798222,0.9849462365591399,0.9424242424242426,0.019840039841187537,6.8,1.3759844960366863,3.5586769739786783
Zoo,BPSO,0.015376344086021492,0.015327120094882025,0.9881720430107529,0.9462727272727273,0.020609647637880042,5.866666666666666,0.561743318211757,4.2038556655248005
Zoo,BGA,0.032491935483870964,0.023389980935432667,0.970967741935484,0.939848484848485,0.02688520985083809,6.0,1.2909944487358056,0.32638317743937173
Zoo,BGWO,0.018317876344086007,0.015626521503559886,0.9860215053763443,0.9506060606060606,0.018136812986509567,7.166666666666667,1.2671051872498809,4.6912962913513185
Zoo,BWOA,0.020446908602150524,0.01571453973582146,0.9838709677419356,0.9457272727272729,0.024220236058113544,7.166666666666667,1.2671051872498809,4.964630397160848
